Previous State,New State
"[-296.73, -322.53, 4.336005498066962, 33.73, 2.3, 781.71, -2.47]","[-294.68, -316.03, 4.309673138804028, 34.31, 4.82, 788.52, -2.29]"
"[-294.68, -316.03, 4.309673138804028, 34.31, 4.82, 788.52, -2.29]","[-292.15, -309.53, 4.336005498066962, 35.38, 4.72, 795.47, -1.65]"
"[-292.15, -309.53, 4.336005498066962, 35.38, 4.72, 795.47, -1.65]","[-289.63, -302.83, 4.428594871176362, 36.15, 3.68, 802.6, -1.08]"
"[-289.63, -302.83, 4.428594871176362, 36.15, 3.68, 802.6, -1.08]","[-287.53, -295.85, 4.51205413806157, 36.56, 2.86, 809.88, -1.04]"
"[-287.53, -295.85, 4.51205413806157, 36.56, 2.86, 809.88, -1.04]","[-285.97, -288.67, 4.71238898038469, 36.77, 3.09, 817.19, -1.65]"
"[-285.97, -288.67, 4.71238898038469, 36.77, 3.09, 817.19, -1.65]","[-284.96, -281.32, 4.71238898038469, 37.4, 5.42, 824.49, -2.9]"
"[-284.96, -281.32, 4.71238898038469, 37.4, 5.42, 824.49, -2.9]","[-284.13, -273.78, 4.570849507060263, 38.32, 3.93, 831.92, -4.39]"
"[-284.13, -273.78, 4.570849507060263, 38.32, 3.93, 831.92, -4.39]","[-282.91, -266.15, 4.466823462869398, 38.97, 4.22, 839.57, -5.54]"
"[-282.91, -266.15, 4.466823462869398, 38.97, 4.22, 839.57, -5.54]","[-281.15, -258.49, 4.394828551093168, 39.54, 3.38, 847.41, -6.18]"
"[-281.15, -258.49, 4.394828551093168, 39.54, 3.38, 847.41, -6.18]","[-278.84, -250.84, 4.3642229591117285, 40.3, 4.57, 855.39, -6.3]"
"[-278.84, -250.84, 4.3642229591117285, 40.3, 4.57, 855.39, -6.3]","[-276.14, -243.16, 4.3642229591117285, 41.13, 3.93, 863.54, -6.04]"
"[-276.14, -243.16, 4.3642229591117285, 41.13, 3.93, 863.54, -6.04]","[-273.3, -235.36, 4.3642229591117285, 41.9, 3.95, 871.83, -5.7]"
"[-273.3, -235.36, 4.3642229591117285, 41.9, 3.95, 871.83, -5.7]","[-270.42, -227.41, 4.3642229591117285, 42.64, 3.82, 880.25, -5.37]"
"[-270.42, -227.41, 4.3642229591117285, 42.64, 3.82, 880.25, -5.37]","[-267.49, -219.33, 4.3642229591117285, 43.35, 3.47, 888.78, -5.11]"
"[-267.49, -219.33, 4.3642229591117285, 43.35, 3.47, 888.78, -5.11]","[-264.53, -211.11, 4.3642229591117285, 44.04, 3.4, 897.48, -4.96]"
"[-264.53, -211.11, 4.3642229591117285, 44.04, 3.4, 897.48, -4.96]","[-261.53, -202.8, 4.3642229591117285, 43.61, -12.99, 906.31, -4.85]"
"[-261.53, -202.8, 4.3642229591117285, 43.61, -12.99, 906.31, -4.85]","[-258.68, -194.92, 4.3642229591117285, 40.09, -19.47, 914.68, -4.75]"
"[-258.68, -194.92, 4.3642229591117285, 40.09, -19.47, 914.68, -4.75]","[-256.09, -187.73, 4.3642229591117285, 36.27, -18.91, 922.32, -4.66]"
"[-256.09, -187.73, 4.3642229591117285, 36.27, -18.91, 922.32, -4.66]","[-253.77, -181.25, 4.3642229591117285, 32.63, -17.8, 929.19, -4.59]"
"[-253.77, -181.25, 4.3642229591117285, 32.63, -17.8, 929.19, -4.59]","[-251.69, -175.46, 4.3642229591117285, 29.06, -12.71, 935.3, -4.56]"
"[-251.69, -175.46, 4.3642229591117285, 29.06, -12.71, 935.3, -4.56]","[-249.5, -170.26, 4.217454854043794, 27.74, -2.82, 940.87, -4.34]"
"[-249.5, -170.26, 4.217454854043794, 27.74, -2.82, 940.87, -4.34]","[-246.81, -165.49, 4.068887871591405, 26.85, -3.93, 946.19, -3.62]"
"[-246.81, -165.49, 4.068887871591405, 26.85, -3.93, 946.19, -3.62]","[-243.63, -161.29, 3.903081706337426, 25.81, -3.14, 951.18, -2.42]"
"[-243.63, -161.29, 3.903081706337426, 25.81, -3.14, 951.18, -2.42]","[-240.01, -157.72, 3.7726514943678144, 24.94, -2.85, 955.89, -0.92]"
"[-240.01, -157.72, 3.7726514943678144, 24.94, -2.85, 955.89, -0.92]","[-236.06, -154.73, 3.6884436042857374, 24.94, 5.76, 960.53, 0.73]"
"[-236.06, -154.73, 3.6884436042857374, 24.94, 5.76, 960.53, 0.73]","[-231.7, -152.07, 3.6536824065239406, 26.06, 1.69, 965.6, 2.25]"
"[-231.7, -152.07, 3.6536824065239406, 26.06, 1.69, 965.6, 2.25]","[-227.08, -149.74, 3.5422242462911653, 25.63, -2.98, 971.14, 3.24]"
"[-227.08, -149.74, 3.5422242462911653, 25.63, -2.98, 971.14, 3.24]","[-222.36, -147.94, 3.425386762798121, 24.92, -3.06, 976.8, 3.62]"
"[-222.36, -147.94, 3.425386762798121, 24.92, -3.06, 976.8, 3.62]","[-217.57, -146.76, 3.292160926366479, 24.93, 5.01, 983.02, 3.31]"
"[-217.57, -146.76, 3.292160926366479, 24.93, 5.01, 983.02, 3.31]","[-212.55, -146.12, 3.2016287120350717, 25.59, 0.57, 988.48, 2.7]"
"[-212.55, -146.12, 3.2016287120350717, 25.59, 0.57, 988.48, 2.7]","[-207.51, -145.99, 3.071535360501743, 24.86, -3.9, 993.75, 1.82]"
"[-207.51, -145.99, 3.071535360501743, 24.86, -3.9, 993.75, 1.82]","[-202.66, -146.49, 2.9095149707270798, 23.84, -4.21, 998.71, 0.94]"
"[-202.66, -146.49, 2.9095149707270798, 23.84, -4.21, 998.71, 0.94]","[-198.15, -147.62, 2.7300758075223053, 22.61, -3.75, 1003.36, 0.2]"
"[-198.15, -147.62, 2.7300758075223053, 22.61, -3.75, 1003.36, 0.2]","[-194.03, -149.36, 2.5350867983767063, 22.08, 1.95, 1007.77, -0.33]"
"[-194.03, -149.36, 2.5350867983767063, 22.08, 1.95, 1007.77, -0.33]","[-190.25, -151.69, 2.3661951569790403, 22.02, 1.72, 1012.12, -0.65]"
"[-190.25, -151.69, 2.3661951569790403, 22.02, 1.72, 1012.12, -0.65]","[-186.87, -154.57, 2.197440538435637, 21.98, 2.57, 1016.57, -0.82]"
"[-186.87, -154.57, 2.197440538435637, 21.98, 2.57, 1016.57, -0.82]","[-183.97, -157.94, 2.044247484066963, 22.03, 3.27, 1020.91, -0.79]"
"[-183.97, -157.94, 2.044247484066963, 22.03, 3.27, 1020.91, -0.79]","[-181.64, -161.75, 1.9471798091126247, 22.33, 3.42, 1025.28, -0.54]"
"[-181.64, -161.75, 1.9471798091126247, 22.33, 3.42, 1025.28, -0.54]","[-179.86, -165.93, 1.8545904360032246, 23.09, 5.72, 1029.76, -0.06]"
"[-179.86, -165.93, 1.8545904360032246, 23.09, 5.72, 1029.76, -0.06]","[-178.5, -170.47, 1.8163618443101885, 24.37, 6.43, 1034.5, 0.47]"
"[-178.5, -170.47, 1.8163618443101885, 24.37, 6.43, 1034.5, 0.47]","[-177.34, -175.32, 1.771131169118016, 25.55, 5.55, 1039.56, 0.73]"
"[-177.34, -175.32, 1.771131169118016, 25.55, 5.55, 1039.56, 0.73]","[-176.32, -180.44, 1.771131169118016, 26.71, 5.43, 1044.86, 0.57]"
"[-176.32, -180.44, 1.771131169118016, 26.71, 5.43, 1044.86, 0.57]","[-175.47, -185.8, 1.7123358001193236, 27.62, 4.72, 1050.29, -0.04]"
"[-175.47, -185.8, 1.7123358001193236, 27.62, 4.72, 1050.29, -0.04]","[-175.09, -191.41, 1.5707963267948966, 28.58, 5.97, 1055.85, -0.74]"
"[-175.09, -191.41, 1.5707963267948966, 28.58, 5.97, 1055.85, -0.74]","[-175.29, -197.21, 1.4292568534704695, 29.56, 6.57, 1061.61, -1.23]"
"[-175.29, -197.21, 1.4292568534704695, 29.56, 6.57, 1061.61, -1.23]","[-175.94, -203.2, 1.4292568534704695, 30.74, 6.1, 1067.56, -1.52]"
